samlpe:1
direct band gap: wevelength=251.729549238nm energy=4.92592150487eV
	linear fit coefficient: slope=3302.67616762 intercept=-16268.7235577 r=0.990583817164
indirect band gap: wevelength=268.535431803nm energy=4.61764018131eV
	linear fit coefficient: slope=9.88591908185 intercept=-45.6496171816 r=0.994073460789
datas:
wavelength	R	hv	F(R)	(hvF(R))^2	(hvF(R))^1/2
292.5	0.80287	4.23931623932	0.0242008275935	0.0105257261092	0.320304482363
293.0	0.80589	4.23208191126	0.0233770688928	0.00978787113871	0.314537232136
293.5	0.80534	4.22487223169	0.0235257876177	0.00987905727362	0.315267262548
294.0	0.80635	4.21768707483	0.0232531298444	0.00961859287711	0.31316836557
294.5	0.80832	4.21052631579	0.0227269041964	0.00915700253696	0.309341604372
295.0	0.80667	4.20338983051	0.0231671494539	0.00948297354703	0.312058584911
295.5	0.8091	4.19627749577	0.0225205846002	0.00893074563089	0.307412788201
296.0	0.81094	4.18918918919	0.022038426764	0.00852356202186	0.303847229947
296.5	0.81531	4.18212478921	0.0209186665808	0.00765353320239	0.29577774437
297.0	0.82019	4.17508417508	0.0197098453407	0.00677168744639	0.286862795384
297.5	0.82417	4.16806722689	0.0187559538081	0.00611149891763	0.279599850459
298.0	0.82526	4.1610738255	0.0184996653176	0.00592568532598	0.277449947078
298.5	0.82533	4.1541038526	0.0184832787491	0.00589539251685	0.277094675987
299.0	0.82567	4.14715719064	0.018403810784	0.00582527607644	0.276267074093
299.5	0.82481	4.14023372287	0.0186052158073	0.00593361195013	0.277542684837
300.0	0.82852	4.13333333333	0.0177457335973	0.00538008052497	0.270830264561
300.5	0.82851	4.12645590682	0.0177480175858	0.00536357204282	0.270622268118
301.0	0.83098	4.1196013289	0.0171891985367	0.00501443071094	0.266106454515
301.5	0.83284	4.1127694859	0.016775410403	0.00476008869421	0.262665939967
302.0	0.83319	4.1059602649	0.0166982177535	0.00470077781803	0.261843882095
302.5	0.83496	4.09917355372	0.0163110817285	0.00447052100688	0.258576787152
303.0	0.83353	4.09240924092	0.0166234334097	0.00462806627381	0.260825406166
303.5	0.83199	4.08566721582	0.0169637616438	0.00480363834259	0.263264666837
304.0	0.83168	4.07894736842	0.0170327664486	0.00482688093336	0.263582544723
304.5	0.83279	4.07224958949	0.0167864552288	0.00467290303574	0.26145484393
305.0	0.83061	4.06557377049	0.0172722289041	0.0049310619821	0.264993435372
305.5	0.83238	4.0589198036	0.0168771861409	0.00469268088264	0.261731054819
306.0	0.82729	4.0522875817	0.0180279854102	0.00533697186364	0.270286110262
306.5	0.8235	4.04567699837	0.0189145415908	0.00585563574437	0.276626328914
307.0	0.82262	4.03908794788	0.0191240575235	0.0059665969539	0.27792759895
307.5	0.82095	4.0325203252	0.0195254902856	0.00619950515939	0.280601027148
308.0	0.83083	4.02597402597	0.0172228307235	0.00480785103901	0.263322367349
308.5	0.84041	4.01944894652	0.0151527040968	0.00370948242966	0.246790438467
