"Storage 193957 - RawData - F:\201701009\2017-2896\1.spc"
"²¨³¤(nm)","T%"
557.00,95.050
557.50,95.084
558.00,95.169
558.50,95.186
559.00,95.148
559.50,95.134
560.00,95.004
560.50,95.087
561.00,95.078
561.50,95.038
562.00,95.084
562.50,94.994
563.00,94.995
563.50,94.977
564.00,94.931
564.50,94.853
565.00,94.791
565.50,94.846
566.00,94.847
566.50,94.926
567.00,94.949
567.50,94.885
568.00,94.910
568.50,94.824
569.00,94.812
569.50,94.769
570.00,94.664
570.50,94.643
571.00,94.681
571.50,94.678
572.00,94.786
572.50,94.800
573.00,94.745
573.50,94.691
574.00,94.606
574.50,94.568
575.00,94.533
575.50,94.545
576.00,94.545
576.50,94.576
577.00,94.637
577.50,94.624
578.00,94.653
578.50,94.637
579.00,94.585
579.50,94.601
580.00,94.472
580.50,94.370
581.00,94.234
581.50,94.051
582.00,94.055
582.50,94.083
583.00,94.156
583.50,94.304
584.00,94.331
584.50,94.263
585.00,94.244
585.50,94.179
586.00,94.099
586.50,94.122
587.00,93.999
587.50,93.951
588.00,93.900
588.50,93.819
589.00,93.858
589.50,93.852
590.00,93.898
590.50,93.930
591.00,93.849
591.50,93.791
592.00,93.764
592.50,93.820
593.00,93.909
593.50,93.921
594.00,93.935
594.50,93.826
595.00,93.808
595.50,93.843
596.00,93.776
596.50,93.840
597.00,93.802
597.50,93.723
598.00,93.700
598.50,93.666
599.00,93.713
599.50,93.784
600.00,93.829
600.50,93.860
601.00,93.907
601.50,93.941
602.00,93.939
602.50,93.816
603.00,93.692
603.50,93.616
604.00,93.648
604.50,93.678
605.00,93.607
605.50,93.523
606.00,93.484
606.50,93.462
607.00,93.469
607.50,93.500
608.00,93.346
608.50,93.317
609.00,93.335
609.50,93.239
610.00,93.341
610.50,93.269
611.00,93.251
611.50,93.304
612.00,93.327
612.50,93.398
613.00,93.445
613.50,93.416
614.00,93.408
614.50,93.515
615.00,93.416
615.50,93.604
616.00,93.539
616.50,93.451
617.00,93.440
617.50,93.221
618.00,93.185
618.50,93.164
619.00,93.253
619.50,93.358
620.00,93.405
620.50,93.452
621.00,93.491
621.50,93.530
622.00,93.567
622.50,93.547
623.00,93.591
623.50,93.475
624.00,93.428
624.50,93.367
625.00,93.303
625.50,93.307
626.00,93.231
626.50,93.089
627.00,92.920
627.50,92.871
628.00,92.876
628.50,92.876
629.00,92.889
629.50,92.851
630.00,92.773
630.50,92.754
631.00,92.683
631.50,92.735
632.00,92.792
632.50,92.926
633.00,92.995
633.50,92.998
634.00,92.987
634.50,92.859
635.00,92.899
635.50,92.908
636.00,92.958
636.50,93.053
637.00,93.094
637.50,93.118
638.00,93.135
638.50,93.297
639.00,93.307
639.50,93.222
640.00,93.231
640.50,93.022
641.00,92.940
641.50,92.923
642.00,92.909
642.50,92.986
643.00,93.073
643.50,93.069
644.00,92.995
644.50,92.938
645.00,92.876
645.50,92.848
646.00,92.845
646.50,92.746
647.00,92.770
647.50,92.860
648.00,92.912
648.50,92.854
649.00,92.824
649.50,92.862
650.00,92.848
650.50,93.011
651.00,93.076
651.50,93.048
652.00,93.100
652.50,93.204
653.00,93.204
653.50,93.173
654.00,93.074
654.50,92.953
655.00,92.809
655.50,92.711
656.00,92.674
656.50,92.685
657.00,92.818
657.50,93.011
658.00,93.080
658.50,93.057
659.00,92.970
659.50,92.998
660.00,93.076
660.50,93.073
661.00,93.141
661.50,92.911
662.00,92.799
662.50,92.815
663.00,92.847
663.50,92.940
664.00,93.037
664.50,93.161
665.00,93.188
665.50,93.123
666.00,93.141
666.50,92.986
667.00,92.796
667.50,92.868
668.00,92.801
668.50,92.856
669.00,92.918
669.50,92.966
670.00,92.972
670.50,92.940
671.00,92.874
671.50,92.769
672.00,92.688
672.50,92.767
673.00,92.854
673.50,92.847
674.00,92.924
674.50,92.851
675.00,92.921
675.50,93.073
676.00,93.141
676.50,93.201
677.00,93.256
677.50,93.265
678.00,93.143
678.50,93.224
679.00,93.153
679.50,93.097
680.00,93.030
680.50,92.853
681.00,92.857
681.50,92.969
682.00,93.129
682.50,93.279
683.00,93.292
683.50,93.356
684.00,93.411
684.50,93.289
685.00,93.292
685.50,93.178
686.00,93.068
686.50,93.108
687.00,93.005
687.50,92.937
688.00,92.902
688.50,92.900
689.00,92.863
689.50,92.915
690.00,92.903
690.50,93.053
691.00,93.196
691.50,93.164
692.00,93.147
692.50,93.069
693.00,93.063
693.50,92.987
694.00,92.976
694.50,93.027
695.00,93.123
695.50,93.137
696.00,93.164
696.50,93.066
697.00,92.877
697.50,92.845
698.00,92.902
698.50,92.984
699.00,93.105
699.50,93.130
700.00,93.159
700.50,93.008
701.00,93.008
701.50,93.010
702.00,93.002
702.50,93.027
703.00,93.066
703.50,93.022
704.00,93.111
704.50,93.341
705.00,93.257
705.50,93.524
706.00,93.602
706.50,93.480
707.00,93.513
707.50,93.494
708.00,93.330
708.50,93.491
709.00,93.370
709.50,93.204
710.00,93.167
710.50,92.978
