"Storage 194731 - RawData - F:\201701009\2017-2896\3.spc"
"²¨³¤(nm)","T%"
770.50,99.191
771.00,99.472
771.50,99.507
772.00,99.474
772.50,99.435
773.00,99.275
773.50,99.164
774.00,99.094
774.50,99.316
775.00,99.628
775.50,99.786
776.00,100.186
776.50,100.455
777.00,100.244
777.50,100.270
778.00,99.796
778.50,99.348
779.00,99.567
779.50,99.538
780.00,99.838
780.50,99.655
781.00,99.106
781.50,99.008
782.00,98.752
782.50,99.036
783.00,99.426
783.50,99.548
784.00,100.003
784.50,100.110
785.00,100.182
785.50,100.078
786.00,99.966
786.50,99.826
787.00,99.945
787.50,99.971
788.00,100.058
788.50,100.305
789.00,99.960
789.50,99.886
790.00,99.440
790.50,99.460
791.00,99.498
791.50,99.867
792.00,100.313
792.50,99.727
793.00,99.736
793.50,99.382
794.00,99.113
794.50,99.229
795.00,99.461
795.50,99.529
796.00,99.425
796.50,99.559
797.00,99.310
797.50,99.060
798.00,98.927
798.50,98.549
799.00,98.579
799.50,98.769
800.00,98.940
